,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
1750,16 ago 2018,1.1344,1.1408,1.1338,1.1344,1.1344,,0.08773789375178635
1490,16 ago 2019,1.1111,1.1114,1.1067,1.1114,1.1114,,0.093039658210892
969,16 ago 2021,1.1796,1.1804,1.1768,1.1795,1.1795,,0.03152606857823236
708,16 ago 2022,1.0162,1.0194,1.0123,1.0162,1.0162,,0.06609490903238523
447,16 ago 2023,1.0904,1.0935,1.0898,1.0904,1.0904,,0.0603005970119631
185,16 ago 2024,1.0973,1.1004,1.0974,1.0973,1.0973,,0.058238071740049274
5549,16 dic 2003,1.2314,1.2359,1.2305,1.2322,1.2322,,0.08403318987161724
5288,16 dic 2004,1.3402,1.343,1.3213,1.3251,1.3251,,0.1241205583293898
5028,16 dic 2005,1.1968,1.2029,1.1944,1.2014,1.2014,,0.09832810890075983
4268,16 dic 2008,1.3696,1.4133,1.3637,1.4062,1.4062,,0.118326636899728
4007,16 dic 2009,1.454,1.4588,1.4509,1.4526,1.4526,,0.10811193273640285
3746,16 dic 2010,1.3226,1.3261,1.3185,1.3224,1.3224,,0.09590499465617319
3485,16 dic 2011,1.303,1.3084,1.3007,1.303,1.303,,0.09735045968047906
2966,16 dic 2013,1.3738,1.3799,1.3738,1.3739,1.3739,,0.06101239218389001
2705,16 dic 2014,1.2444,1.2566,1.2436,1.2444,1.2444,,0.07849100585417795
2444,16 dic 2015,1.0936,1.0958,1.0913,1.0936,1.0936,,0.10766850978814628
2182,16 dic 2016,1.0418,1.0472,1.0404,1.0419,1.0419,,0.1400829147326674
1404,16 dic 2019,1.1125,1.1158,1.1123,1.1124,1.1124,,0.13474272893184078
1142,16 dic 2020,1.2154,1.2213,1.2147,1.2154,1.2154,,0.08530971808650717
881,16 dic 2021,1.1293,1.1364,1.1282,1.1291,1.1291,,0.06329839650417045
620,16 dic 2022,1.0641,1.0663,1.0599,1.0641,1.0641,,0.06743676297094292
99,16 dic 2024,1.051,1.0524,1.0475,1.051,1.051,,0.0651358964012867
5526,16 ene 2004,1.26,1.261,1.2364,1.2398,1.2398,,0.08579881700815765
5007,16 ene 2006,1.2165,1.2171,1.211,1.2116,1.2116,,0.0849755082361931
